question,A,B,C,D,E,answer
下列各项，不属于月经周期经常提前7天以上的病机是____,气虚不能摄血,阳盛迫血妄行,阴虚而虚热内扰,肝郁、血瘀，血海不宁,湿热蕴结,E
瞪目直视属于____,脏腑精气将绝,风热毒邪上攻,太阳经绝证,寒湿水饮内停,肝胆火炽,A
病人两目上视，不能转动或兼项强抽搐，角弓反张属于____,脏腑精气将绝,风热毒邪上攻,肝风内动,寒湿水饮内停,肝胆湿热,C
四肢或某一肢体肌肉消瘦、萎缩，松软无力属于____,气血亏虚,邪气壅盛,寒湿内侵,先天不足，肾精不充,湿热侵淫,A
疮疡漫肿无头，部位较深，皮色不变，不热少痛者为____,痰核,痈,疥肿,红丝疔,阴疽,E
肺痈病人咳痰的特点是____,痰白清稀或有灰白点,痰黄黏稠有块,痰少而黏，难咯,脓血痰味腥臭,痰白滑量多，易咯,D
下列舌象主热盛伤津，气血壅滞的是____,淡红舌,红绛舌,青紫色,舌绛紫而干,舌红而燥,D
舌质苍老属于____,寒证,热证,实证,虚证,阴证,C
观察舌苔的润燥，主要了解____,湿浊的消长,邪气的深浅,津液的盈亏,疾病的进退,胃气的盛衰,C
舌红苔剥，多主____,血虚,阴虚,气虚,阳虚,胃气阴两虚,B
外感秽浊之气，热毒内盛可见____,白腻苔,黄腻苔,积粉苔,灰黑干燥苔,黑苔而滑,C
洪脉的脉象特征是____,浮大中空,浮而搏指,来盛去衰，滔滔满指,厥厥动摇,轻刀刮竹,C
下列各项，不属于动脉的脉象特征的是____,应指圆滑,脉来有力,如按琴弦,脉短如豆,脉来急促,C
自言自语，喃喃不休，见人语止，首尾不续，称为____,郑声,独语,狂言,谵语,错语,B
白喉咳嗽的特点是____,干咳,顿咳,咳声清脆,咳声重浊,咳如犬吠,E
顿咳的表现特点是____,咳声重浊,咳声低微,咳声紧闷,咳声如犬吠,咳终止时作鹭鸶叫声,E
有关里证的临床表现中，不正确的是____,潮热,神昏烦躁,汗出口渴,关节酸痛,胸闷腹痛,A
有关里证的成因，不正确的是____,先天禀赋不足,外邪袭表，病邪传里,外邪直接入里，侵犯脏腑,情志内伤饮食劳倦损伤脏腑,脏腑气机失调,B
里虚寒证出现畏寒肢冷的病机是____,寒邪束表，卫气失宣,阳虚机体失于温煦,阴寒内盛，阳气被郁,气滞血瘀，阳气不达肌肤,肝郁，阳气不宣,C
中寒证的表现不包括的是____,寒滞胃肠,寒滞肝脉,寒邪束表,寒滞心经,寒邪客肺,C
气虚类证不包括的是____,气陷证,气结证,气不固证,气虚证,气脱证,B
风热犯肺证与肺热炽盛证最具区别的症状是____,发热口渴,气喘,咳嗽,咽喉肿痛,脉浮数,D
对诊断胃肠气滞证最有意义的是____,里急后重,脘腹胀痛,恶心呕吐,苔腻脉弦,大便秘结,B
以下疾病均可引起腹泻，常表现为慢性腹泻的是____,伤寒,败血症,食物中毒,过敏性紫癜,肾上腺皮质功能减退症,E
可出现草莓舌的疾病是____,猩红热,缺铁性贫血,糙皮病,恶性贫血,核黄素缺乏,A
可出现与颈动脉搏动节律一致的点头运动的是____,颈椎病,帕金森病,三尖瓣关闭不全,严重的主动脉瓣关闭不全,二尖瓣狭窄,D
中腹壁反射消失，说明病变的部位是____,胸髓第7~8节,胸髓第9~10节,胸髓第11~12节,腰髓第1~2节,同侧锥体束受损,B
可引起触觉语颤减弱的疾病是____,压迫性肺不张,肺实变,肺内浅而大的空洞,肺癌,胸膜增厚粘连,E
胸骨左缘第2肋间可闻及连续性机器声样杂音，提示的疾病是____,主动脉瓣狭窄,主动脉瓣关闭不全,肺动脉瓣狭窄,肺动脉瓣关闭不全,动脉导管未闭,E
可引起第一心音增强的是____,主动脉瓣狭窄,二尖瓣关闭不全,主动脉瓣关闭不全,二尖瓣狭窄,左心功能不全,D
关于二度 I 型房室传导阻滞的心电图特征，正确的是____,P-R间期进行性缩短,R-R间距进行性延长,固定的房室3：1传导,P-R间期进行性延长，伴QRS波脱漏,P-R间期恒定,D
下列各项，不会引起淋巴细胞增多的疾病是____,风疹,流行性腮腺炎,免疫缺陷性疾病,结核病,百日咳,C
以下有关网织红细胞的描述，错误的是____,为未成熟的RBC,增多提示骨髓造血旺盛,绝对计数(24~84)×109/L,急性失血时网织红细胞减少,溶血性贫血时网织红细胞增多,D
肝细胞性黄疸时，不正确的是____,血清总胆红素增高,血清结合胆红素增高,血清非结合胆红素增高,尿内尿胆原增高,尿胆红素阴性,E
急性心肌梗死时，血清中丕全增高的酶是____,谷草转氨酶,碱性磷酸酶,乳酸脱氢酶,肌酸激酶,肌酸激酶同工酶,E
骨髓增生活跃时，成熟红细胞与有核细胞的比值是____,1:1,10:1,20:1,50:1,200:1,C
胸片后前位示左肺门肿块影约3cm大小，边缘有分叶征，伴有左上叶肺不张。应首先考虑的疾病是____,肺结核,肺炎,结节病,肺脓肿,肺癌,E
上消化道造影检查十二指肠球溃疡的直接征象是____,十二指肠球出现激惹征,十二指肠球部龛影,十二指肠球部压痛,胃窦部痉挛,胃液增多,B
不属于问诊“一般项目”的内容的是____,姓名,性别、年龄,婚姻,工作单位,工作条件,E
不属于非感染性发热的是____,大面积烧伤,心肌梗死后低热,血清病,广泛性皮炎,流行性出血热,E
腹痛一般不伴有休克的是____,急性胃肠穿孔,急性心肌梗死,绞窄性肠梗阻,泌尿系结石,急性重症胰腺炎,D
不属于湿性咳嗽的常见病因的是____,慢性支气管炎,支气管扩张症,空洞型肺结核,肺脓肿,肺癌,E
常出现呼吸困难伴有昏迷的疾病是____,急性心肌梗死,糖尿病酮症酸中毒,气胸,肺梗死,支气管哮喘,B
关于胸痛部位的描述，错误的是____,带状疱疹的胸痛常沿一侧肋间神经分布,非化脓性肋软骨炎多侵犯第1、2肋软骨,急性心肌梗死的胸痛位于心前区，向左肩背部放射,食管肿瘤的胸痛常位于胸骨后,肝胆疾病的胸痛多在右下胸，不向其他部位放射,E
常出现呕吐伴剧烈头痛的疾病是____,青光眼,急性胰腺炎,胆道梗阻,急性溶血,脑梗塞超早期,A
下列各项，不属于问诊的一般情况的是____,姓名,性别,年龄,婚况,收入,E
下述选项一般不见微热的是____,气虚,胃肠实热,气阴两虚,阴虚,情志抑郁,B
提示疾病发展的转折点的是____,自汗,盗汗,绝汗,冷汗,战汗,E
头目胀痛多见于____,肝阳上亢,脾胃湿热,肝肾阴虚,中气下降,外感风热,A
头晕而胀，烦躁易怒，舌红，脉弦数属于____,肝火上炎,肝阳上亢,肝肾阴虚,肝胆湿热,肝火犯胃,A
下列各项，不属于耳鸣病机的是____,肝胆火盛，上扰清窍,湿热时邪，蒙闭清窍,营血不足，清气不升,风邪上袭，经气闭阻,肝肾阴虚，虚阳上扰,C
下列各项，不属于失眠的是____,经常不易入睡,睡而易醒不能再睡,经常不自主地入睡,彻夜不眠,睡而不酣时易惊醒,C
口干而但欲漱水而不欲咽属于____,血瘀证,湿热证,血分证,气分证,阴虚证,E
少神表现为____,神疲少气懒言,神志昏迷,肌肉大削,突然出现面红如妆,狂躁乱语,A
假神的表现是____,面色荣润，含蓄不露,面色少华，精神不振,面色无华，反应迟钝,喃喃自语，哭笑无常,突然言语不休，想见亲人，但烦躁不安,E
妇女面青多由于____,水饮内停,湿热下注,肝肾阴虚,肝强脾弱,肾阴虚,D
中气虚弱的表现是____,胖而能食,肥而食少,形瘦食多,形瘦食少,胃火亢盛,D
斑秃属于____,血虚受风,气血两虚,血虚化燥,肾虚,阴虚,A
眼睑颜面先肿，兼见面色胱白，发展缓慢者属于____,先天不足，肾精亏损,外感风邪，肺失宣降,脾。肾阳衰，水湿泛溢,心肾阳衰，血行瘀阻，水气凌心,心阳不足，水气凌心,C
不属于正常舌象的是____,舌质淡红,舌苔薄白,舌体活动灵活,舌体柔软,舌质娇嫩,E
下列各项，不属于望苔质内容者为____,真假,润燥,剥落,老嫩,消长,D
阳热有余，蒸腾胃中腐浊邪气上升可形成____,白腻苔,积粉苔,黄腻苔,腐苔,黏腻苔,D
观察舌苔以辨别病邪深浅的主要依据是____,舌苔的有无,苔色的黄白,舌苔的有根无根,舌苔的厚薄,舌苔的润燥,D
金实不鸣的原因为____,风寒犯肺,虚火灼肺,肺气不足,肺肾阴虚,燥邪犯肺,A
言语轻迟低微，欲言不能复言，为____,错语,谵语,独语,夺气,郑声,D
郑声的病机是____,心气大伤,热扰心神,中气大伤,痰火扰心,痰蒙心神,A
脉形宽大，来盛去衰是指____,洪脉,大脉,滑脉,实脉,濡脉,A
诊断表实寒证的主要临床表现是____,发热恶寒,头身疼痛,自汗,鼻塞流涕,脉浮紧,E
辨寒热真假的主要临床依据是____,面色,四肢温度,舌象,脉象,神志,C
患者面色淡白或萎黄，唇甲色淡白，头晕眼花，心悸多梦，舌淡，脉细无力属____,气虚,血虚,阳虚,阴虚,津液不足,B
头痛、头晕经久不愈，痛有定处，痛如针刺，健忘，舌紫暗者诊断为____,肝阳上亢,痰蒙心神,肝风内动,肝火上炎,瘀阻脑络,E
产生寒湿困脾证最常见的原因是____,久泄久痢,过食生冷,劳倦内伤,五更泄泻,身倦乏力,B
持续低热，五心烦热，神疲欲寐，形瘦口干，耳聋，脉虚细，其证候是____,气分证,营分证,血分证,气营两燔证,卫分证,C
关于黄疸的描述，正确的是____,溶血性黄疸时，尿胆原多为阴性,溶血性黄疸时，以结合胆红素增多为主,肝细胞性黄疸时，尿胆红素阴性,胆汁淤积性黄疸时，尿胆红素强阳性,溶血性黄疸时，患者大便呈白陶土色,D
下列关于咳嗽出现的时间与节律的描述，错误的是____,突发剧烈咳嗽应考虑气管异物,支气管肺癌表现为阵发性咳嗽,慢性左心衰竭多表现为夜间阵发性咳嗽,晨起咳嗽加剧伴咯痰多见于支气管扩张症,百日咳表现为持续性咳嗽,E
胸腔脏器癌肿最易转移的淋巴结部位是____,腋窝淋巴结,颈部淋巴结,右锁骨上窝淋巴结,左锁骨上窝淋巴结,腹股沟淋巴结,C
可出现病灶对侧半身感觉障碍、偏瘫、同向偏盲的感觉障碍类型是____,脑干型,皮质型,脊髓型,神经根型,内囊型,E
乳腺炎时常出现淋巴结肿大的部位是____,左锁骨上淋巴结,右锁骨上淋巴结,腋窝淋巴结,滑车上淋巴结,腹股沟淋巴结,C
可引起第二心音A2增强的是____,动脉粥样硬化,主动脉瓣狭窄,主动脉瓣关闭不全,肺动脉高压,左心功能不全,A
下列可引起周围性发绀的疾病是____,喉头水肿,肺淤血,气胸,胸腔积液,右心衰竭,E
急性高侧壁心肌梗死时，出现坏死图形的导联是____,I、aVL、V5、V6,I、aVF,V1、V2、V3,V4、V5、V6,Ⅱ、Ⅲ、aVF,A
左心室肥大的心电图诊断标准是____,RV1+SV5>3.5mV（女）或4.0mV（男）,RV1+SV1>3.5mV（女）或4.0mV（男）,RV5>3.5mV,RV1>1.5mV,SV5>2.5mV,B
一般不引起外周血中性粒细胞增多的是____,伤寒,胃大部切除术后12小时,糖尿病酮症酸中毒,脾破裂,慢性粒细胞性白血病,A
符合渗出液特点的是____,淡黄色透明,比重小于1.018,细胞数低于500×106/L,黏蛋白定性试验（-）,放置后自凝,E
以下对诊断急性肾小球肾炎价值最大的是____,蜡样管型,红细胞管型,透明管型,颗粒管型,白细胞管型,B
可出现暗红色果酱样便的是____,伪膜性肠炎,过敏性肠炎,细菌性痢疾,阿米巴痢疾,直肠癌,D
骨髓增生程度减低时，成熟红细胞与有核细胞的比值是____,1:1,10:1,20:1,50:1,200:1,D
胸片后前位示上肺野呈大片状密度增高阴影，下缘整齐，以水平裂为界，上缘模糊不清，在实变的阴影中间见到支气管征像。该患者最可能的X线诊断是____,支气管肺炎,大叶性肺炎,右上肺不张,肺结核,中心型肺癌,B
胃溃疡患者突感腹部剧痛、呕吐，查体腹部呈板状腹，有压痛及反跳痛，应首选的检查方法是____,卧位腹平片,立位腹平片,胸片,腹部CT,腹部MRI,B
不属于感染性发热的是____,伤寒,风湿热,肺结核,流行性出血热,流行性脑脊髓膜炎,B
下列属于体温调节中枢功能失调引起的发热的是____,白血病,急性溶血,药物热,甲状腺功能亢进,中暑,E
下列关于咯血与呕血的鉴别要点，正确的是____,咯血多为暗红色,呕血多为鲜红色,呕血中常伴有泡沫,咯血患者可有黑便,咯血多为酸性,D
下列不属于急性腹痛的常见病因的是____,急性胃肠穿孔,十二指肠溃疡,急性胆囊炎,肠梗阻,肠系膜动脉栓塞,B
可出现颈静脉怒张，肝-颈静脉反流征阳性的是____,肝硬化,心包积液,肾病综合征,纵隔肿瘤,急性左心衰竭,B
以下不属于反射性呕吐的病因的是____,肾功能正常,肾衰竭代偿期,肾衰竭失代偿期,肾衰竭期,肾衰竭终末期,D
大咯血是指一日咯血量____,大于100ml,大于200ml,大于300ml,大于400ml,大于500ml,E
风湿性二尖瓣狭窄的杂音特点是____,心尖部收缩期吹风样杂音,心尖部舒张期隆隆样杂音,胸骨左缘第二肋间收缩期吹风样杂音,胸骨右缘第二肋间收缩期吹风样杂音,胸骨左缘三四肋间舒张期叹气样杂音,B
皮肤黏膜色素沉着最常见于____,肝硬化,肝癌晚期,肾上腺皮质功能减退症,肢端肥大症,疟疾,C
传染病的基本特征是____,有传染性、季节性、免疫性和病原体,有传染性、病原体、免疫性和流行性,有传染性、流行性、季节性和病原体,有传染性、免疫性、地方性和病原体,有传染性、流行性、地方性和免疫性,B
下列有关肝炎病毒标志物检查的叙述，错误的是____,抗-HAV IgM阳性可诊断为HAV近期感染,HBsAg和HDAg均呈阳性，可诊断为HDV及HBV现症感染,抗-HBs阳性可诊断为HBV现症感染,HCV-RNA阳性可诊断为HCV现症感染,抗-HEV IgM阳性可诊断为HEV近期感染,C
流行性出血热早期出现低血压，最主要的原因是____,继发细菌感染,小动脉痉挛,小血管通透性增加，大量血浆外渗,高热、汗出、呕吐所致血容量下降,严重腔道出血,C
HIV感染的细胞主要是____,神经胶质细胞,单核细胞,B淋巴细胞,CD4+T淋巴细胞,直肠黏膜上皮细胞,D
治疗伤寒慢性带菌者，首选的抗菌药物是____,氯霉素,磺胺嘧啶,四环素,氟喹诺酮类,红霉素,D
以下属于“癌症性格”的心理特征是____,乐观,坚强,压抑,自信,固执,C
糖尿病患者最常见的情绪反应是____,兴奋,抑郁,躁狂,平静,愤怒,B
行为不良通常不包括____,酒瘾,抑郁,偏爱体育运动,贪食,厌食,C
下列属于“治未病”实践的道德原则的是____,以提高人民群众健康水平为目的,尊重和满足患者的心理需要,尽量节约患者的费用,实事求是，尊重科学,综合分析，切忌片面,A
在体格检查中，医生应遵守的道德要求有____,知情同意,保护患者的权利,全神贯注，语言得当,减轻患者的痛苦,尊重患者的一切意见,D
下列各项，不属于手术治疗的道德要求的是____,术前要严格掌握手术指征,术中要认真操作，一丝不苟,术后要密切观察病情,术前与患者及其家属签订知情同意书,术中要告知手术进展,E
下列关于卫生防疫工作，说法不正确的是____,预防疾病是最经济、最积极的医学服务,预防医学的工作效果直接关系到人类的命运和前途,预防医学实践的目的是促进社会的繁荣和发展,卫生防疫工作要坚持“预防为主”,卫生防疫工作要坚持知情同意，尽职尽责,E
下列各项，不是卫生法中民事责任的特征是____,主要是财产责任,是一方当事人对另一方的责任,是赔偿当事人的损失,在法律允许的条件下，可以由当事人协商解决,是补偿当事人的损失,C
医疗机构发现甲类传染病时采取下列措施，哪项是错误的____,对病人、病原携带者予以隔离治疗,对疑似病人应在指定场所统一集中治疗,对医疗机构内的病人、病原携带者、疑似病人的密切接触者，应指定场所进行医学观察和采取其他必要的预防措施,拒绝隔离治疗时，可以由公安机关协助医疗机构采取强制隔离治疗措施,对疑似病人，确诊前在指定场所单独隔离治疗,B
《中医药条例》中明确国家发展中医药的方针是____,不构成医疗事故,构成一级医疗事故,构成二级医疗事故,构成三级医疗事故,构成四级医疗事故,A
下列关于卫生防疫工作，说法不正确的是____,预防疾病是最经济、最积极的医学服务,预防医学的工作效果直接关系到人类的命运和前途,预防医学实践的目的是促进社会的繁荣和发展,卫生防疫工作要坚持“预防为主”,卫生防疫工作要坚持知情同意，尽职尽责,E
有关里证的临床表现中，不正确的是____,潮热,神昏烦躁,汗出口渴,关节酸痛,胸闷腹痛,A
骨髓增生活跃时，成熟红细胞与有核细胞的比值是____,1:1,10:1,20:1,50:1,200:1,C
下列舌象主热盛伤津，气血壅滞的是____,淡红舌,红绛舌,青紫色,舌绛紫而干,舌红而燥,D
可出现与颈动脉搏动节律一致的点头运动的是____,颈椎病,帕金森病,三尖瓣关闭不全,严重的主动脉瓣关闭不全,二尖瓣狭窄,D
寒痰湿浊引起的咳嗽特点是____,咳声不扬,咳声清脆,咳声如犬吠,咳声低微,咳声重浊沉闷,E
关于胸痛部位的描述，错误的是____,带状疱疹的胸痛常沿一侧肋间神经分布,非化脓性肋软骨炎多侵犯第1、2肋软骨,急性心肌梗死的胸痛位于心前区，向左肩背部放射,食管肿瘤的胸痛常位于胸骨后,肝胆疾病的胸痛多在右下胸，不向其他部位放射,E
假神的表现是____,面色荣润，含蓄不露,面色少华，精神不振,面色无华，反应迟钝,喃喃自语，哭笑无常,突然言语不休，想见亲人，但烦躁不安,E
不属于正常舌象的是____,舌质淡红,舌苔薄白,舌体活动灵活,舌体柔软,舌质娇嫩,E
辨寒热真假的主要临床依据是____,面色,四肢温度,舌象,脉象,神志,C
有关表证的临床表现中，不正确的是____,恶寒重发热轻,恶寒轻发热重,鼻塞流涕、喷嚏,舌苔薄黄,脉沉实,E
下列属于“治未病”实践的道德原则的是____,以提高人民群众健康水平为目的,尊重和满足患者的心理需要,尽量节约患者的费用,实事求是，尊重科学,综合分析，切忌片面,A
斑秃属于____,血虚受风,气血两虚,血虚化燥,肾虚,阴虚,A
可出现水肿伴脾肿大、蜘蛛痣的疾病是____,右心衰竭,肾病综合征,肝硬化,甲状腺功能减退症,原发性醛固酮增多症,C
郑声的病机是____,心气大伤,热扰心神,中气大伤,痰火扰心,痰蒙心神,A
眼睑颜面先肿，兼见面色胱白，发展缓慢者属于____,先天不足，肾精亏损,外感风邪，肺失宣降,脾。肾阳衰，水湿泛溢,心肾阳衰，血行瘀阻，水气凌心,心阳不足，水气凌心,C
以下不属于反射性呕吐的病因的是____,幽门梗阻,胆石症,急性肾炎,尿毒症,急性心肌梗死,D
下列属于“体征”的是____,口干口苦,喉中痰鸣,微恶风寒,耳鸣,胃气上逆,B
以下有关网织红细胞的描述，错误的是____,为未成熟的RBC,增多提示骨髓造血旺盛,绝对计数(24~84)×109/L,急性失血时网织红细胞减少,溶血性贫血时网织红细胞增多,D
下列各项，不属于望苔质内容者为____,真假,润燥,剥落,老嫩,消长,D
下列不按甲类传染病管理的疾病是____,AIDS,肺炭疽,霍乱,SARS,鼠疫,A
骨髓增生程度减低时，成熟红细胞与有核细胞的比值是____,1:1,10:1,20:1,50:1,200:1,D
以夜间阵发性呼吸困难为突出表现的是____,喉头水肿,右心衰竭,左心衰竭,支气管哮喘,胸腔积液,C
下列各项，不属医师在执业活动中必须履行的义务是____,遵守法律、法规，遵守技术操作规范,尊重患者，保护患者的隐私,参加专业培训，接受继续医学教育,努力钻研业务，更新知识，提高专业技术水平,宣传卫生保健知识，对患者进行健康教育,C
下列各项，不属于“诊法”的内容是____,望舌,辨证,切脉,闻声,问诊,B
对诊断胃肠气滞证最有意义的是____,里急后重,脘腹胀痛,恶心呕吐,苔腻脉弦,大便秘结,B
病人但坐不得卧，卧则气逆者为____,心阳不足，水气凌心,气郁化火，痰火扰心,肾不纳气,气血两虚,肝风内动,A
白带中混有血液，赤白杂见属于____,肝经郁热,肾阳不足，阳不化水,气虚失运，传送无力,脾虚中气下陷,脾胃虚寒,A
眼窝凹陷可由于____,水肿,吐泻伤津,痰浊阻肺,肝郁化火,风热邪毒上攻,B
产生寒湿困脾证最常见的原因是____,久泄久痢,过食生冷,劳倦内伤,五更泄泻,身倦乏力,B
妇女面青多由于____,水饮内停,湿热下注,肝肾阴虚,肝强脾弱,肾阴虚,D
苔质地细腻致密，与舌体表面紧紧粘牢，刮之不去，属于____,腐苔,腻苔,糙苔,滑苔,润苔,B
以下与原发性高血压无关的心理社会因素是____,心理社会应激因素,某些可能导致血压升高的其他疾病,人格特征,情绪因素,遗传、肥胖、不健康的生活方式、不科学的饮食习惯,B
目前我国流脑流行的主要菌群是____,A群,B群和C群,D群,X群和Y群,Z群,A
上消化道造影检查十二指肠球溃疡的直接征象是____,十二指肠球出现激惹征,十二指肠球部龛影,十二指肠球部压痛,胃窦部痉挛,胃液增多,B
胃溃疡患者突感腹部剧痛、呕吐，查体腹部呈板状腹，有压痛及反跳痛，应首选的检查方法是____,卧位腹平片,立位腹平片,胸片,腹部CT,腹部MRI,B
不属于感染性发热的是____,伤寒,风湿热,肺结核,流行性出血热,流行性脑脊髓膜炎,B
外感秽浊之气，热毒内盛可见____,白腻苔,黄腻苔,积粉苔,灰黑干燥苔,黑苔而滑,C
可出现草莓舌的疾病是____,猩红热,缺铁性贫血,糙皮病,恶性贫血,核黄素缺乏,A
在体格检查中，医生应遵守的道德要求有____,知情同意,保护患者的权利,全神贯注，语言得当,减轻患者的痛苦,尊重患者的一切意见,D
以下疾病均可引起腹泻，常表现为慢性腹泻的是____,伤寒,败血症,食物中毒,过敏性紫癜,肾上腺皮质功能减退症,E
常出现呕吐伴剧烈头痛的疾病是____,青光眼,急性胰腺炎,胆道梗阻,急性溶血,脑梗塞超早期,A
卫生法所涉及民事责任的主要形式是____,赔偿损失,返还财产,停止侵害,恢复名誉,赔礼道歉,A
下列不属于可引起碱性磷酸酶(ALP)明显升高的疾病是____,急性溶血,肝硬化,胰头癌,急性肝炎,肝脓肿,A
下列各项，不属于但头汗出的原因是____,头感风热，迫津外泄,风湿热邪交蒸,中焦湿热蕴结，湿郁热蒸,阴寒内盛，元气将脱,进食辛辣、热汤、饮酒,A
下列各项，不是心身疾病特点的是____,以躯体症状为主，有明确的病理生理过程,某种人格特征是疾病发生的易患因素,疾病的发生发展与心理社会因素有关,生物或躯体因素是某些心身疾病发病的基础，心理社会因素起“扳机”的作用,单纯的生物学治疗即能取得较好的效果,E
下列各项，不属于问诊的一般情况的是____,姓名,性别,年龄,婚况,收入,E
空腹时腹部听诊可闻及振水音，提示的疾病是____,大量腹水,腹膜炎,急性肠炎,幽门梗阻,机械性肠梗阻,D
左心室肥大的心电图诊断标准是____,RV1+SV5>3.5mV（女）或4.0mV（男）,RV1+SV1>3.5mV（女）或4.0mV（男）,RV5>3.5mV,RV1>1.5mV,SV5>2.5mV,B
病人时时恐惧，焦虑不安，心悸气促，不敢独处一室，其病机是____,痰火扰乱心神,心胆气虚，心神失养,痰浊蒙闭心神,肝风挟痰上逆，阻闭清窍,精气大伤,B
以下属于“癌症性格”的心理特征是____,乐观,坚强,压抑,自信,固执,C
流行性出血热的“三痛”是指____,头痛、眼眶痛和腰痛,头痛、关节痛和腰痛,头痛、腹痛和腰痛,头痛、全身痛和腰痛,头痛、腓肠肌痛和腰痛,A
言语轻迟低微，欲言不能复言，为____,错语,谵语,独语,夺气,郑声,D
关于二度 I 型房室传导阻滞的心电图特征，正确的是____,P-R间期进行性缩短,R-R间距进行性延长,固定的房室3：1传导,P-R间期进行性延长，伴QRS波脱漏,P-R间期恒定,D
诊断表实寒证的主要临床表现是____,发热恶寒,头身疼痛,自汗,鼻塞流涕,脉浮紧,E
常出现呼吸困难伴有昏迷的疾病是____,急性心肌梗死,糖尿病酮症酸中毒,气胸,肺梗死,支气管哮喘,B
疮疡漫肿无头，部位较深，皮色不变，不热少痛者为____,痰核,痈,疥肿,红丝疔,阴疽,E
可引起第二心音A2增强的是____,动脉粥样硬化,主动脉瓣狭窄,主动脉瓣关闭不全,肺动脉高压,左心功能不全,A
下列各项，不属于耳鸣病机的是____,肝胆火盛，上扰清窍,湿热时邪，蒙闭清窍,营血不足，清气不升,风邪上袭，经气闭阻,肝肾阴虚，虚阳上扰,C
苔黑而滑润多见于____,湿热郁蒸,阴虚火旺,热盛伤津,痰火内蕴,寒湿内盛,E
少神表现为____,神疲少气懒言,神志昏迷,肌肉大削,突然出现面红如妆,狂躁乱语,A
舌质苍老属于____,寒证,热证,实证,虚证,阴证,C
可出现暗红色果酱样便的是____,伪膜性肠炎,过敏性肠炎,细菌性痢疾,阿米巴痢疾,直肠癌,D
常出现腹泻伴皮疹、皮下出血的是____,霍乱,伤寒,肠结核,克罗恩病,阿米巴痢疾,B
流行性出血热早期出现低血压，最主要的原因是____,继发细菌感染,小动脉痉挛,小血管通透性增加，大量血浆外渗,高热、汗出、呕吐所致血容量下降,严重腔道出血,C
下列各项，不属于月经周期经常提前7天以上的病机是____,气虚不能摄血,阳盛迫血妄行,阴虚而虚热内扰,肝郁、血瘀，血海不宁,湿热蕴结,E
自觉口中有咸味属于____,肾虚寒水上泛,食滞不化,肝气郁结,肝胆火旺,湿浊停滞,A
中腹壁反射消失，说明病变的部位是____,胸髓第7~8节,胸髓第9~10节,胸髓第11~12节,腰髓第1~2节,同侧锥体束受损,B
医疗机构发现重大食物中毒事件时，应当在多长时间内向所在地县级人民政府卫生行政主管部门报告____,10分钟,半小时,1小时,2小时,6小时,D
乳腺炎时常出现淋巴结肿大的部位是____,左锁骨上淋巴结,右锁骨上淋巴结,腋窝淋巴结,滑车上淋巴结,腹股沟淋巴结,C
医师在执业活动中由于不负责任延误急危患者的抢救造成严重后果的责令暂停执业活动，暂停期限为____,3个月以上6个月以下,半年至2年,1年以上1年半以下,半年以上3年以下,6个月以上1年以下,E
治疗伤寒慢性带菌者，首选的抗菌药物是____,氯霉素,磺胺嘧啶,四环素,氟喹诺酮类,红霉素,D
可闻及胸骨左缘第3、4肋间舒张期叹气样杂音的是____,主动脉瓣狭窄,主动脉瓣关闭不全,二尖瓣狭窄,二尖瓣关闭不全,三尖瓣狭窄,B
依据记忆的性质和表现形式，记忆可以分为____,形象记忆和动作记忆,情绪记忆和语词逻辑记忆,外显记忆和内隐记忆,短时记忆和长时记忆,形象记忆和内隐记忆,C
关于SARS的临床表现，错误的是____,常以发热为首发和主要症状,患者可有腹泻,肺部体征不明显,严重者出现呼吸窘迫,常伴有呼吸道卡他症状,E
不属于中枢性瘫痪的特点的是____,瘫痪分布范围广,肌张力降低,腱反射亢进,病理反射存在,肌萎缩不明显,B
"当内生肌酐清除率(Ccr)为10~19ml/ min, 肾功能分期是____",肾功能正常,肾衰竭代偿期,肾衰竭失代偿期,肾衰竭期,肾衰竭终末期,D
脉形宽大，来盛去衰是指____,洪脉,大脉,滑脉,实脉,濡脉,A
高血压性心脏病的心脏形状是____,烧瓶形,靴形,梨形,普大形,三角形,B
急性心肌梗死时，血清中丕全增高的酶是____,谷草转氨酶,碱性磷酸酶,乳酸脱氢酶,肌酸激酶,肌酸激酶同工酶,E
可引起触觉语颤减弱的疾病是____,压迫性肺不张,肺实变,肺内浅而大的空洞,肺癌,胸膜增厚粘连,E
胸片后前位两侧肺野透亮度减低，可见大小相等，密度一致，分布均匀的小结节状阴影，提示的疾病是____,支气管肺炎,间质性肺炎,浸润性肺结核,粟粒性肺结核,肺水肿,D
中气虚弱的表现是____,胖而能食,肥而食少,形瘦食多,形瘦食少,胃火亢盛,D
头晕而胀，烦躁易怒，舌红，脉弦数属于____,肝火上炎,肝阳上亢,肝肾阴虚,肝胆湿热,肝火犯胃,A
符合漏出液特点的是____,混浊，可有絮状沉淀,比重大于1.018,细胞数低于500×106/L,黏蛋白定性试验阳性,放置后自凝,C
困倦嗜睡，伴头目昏沉，胸闷脘痞，肢体困重者属于____,痰湿困脾，清阳不升,脾失健运，清阳不升,正气未复,心肾阳衰，神失温养,气血不足,A
